"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Vessel.Name","skylight_Flag","skylight_Vessel.Type","skylight_Category","skylight_Gear.Types","skylight_Length..m.","skylight_Skylight.Link","skylight_dark_rendezvous..Phase.1.","skylight_fishing_activity_history..Phase.1.","skylight_standard_rendezvous..Phase.1.","skylight_viirs..Phase.1.","skylight_Total..Phase.1.","skylight_dark_rendezvous..Phase.2.","skylight_fishing_activity_history..Phase.2.","skylight_standard_rendezvous..Phase.2.","skylight_viirs..Phase.2.","skylight_Total..Phase.2.","skylight_Grand.Total","skylight_Area.Presence","skylight_New.Vessel.since.2025..based.on.MMSI.","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","phase1_2026"
"257264000","9138525","DON QUIJOTE","LATE8","NOR","fishing","inconclusive",2026-05-28 22:35:59,"USA","BRUNSWICK",4,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/45a97487e-eb1f-55be-2e09-8c939290f634?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67141,227.9,1998,"","BERGEN","SWEDEN","WALLENIUS LINES AB","WALLENIUS WILHELMSEN NORWAY AS","NORWAY","EUKOR CAR CARRIERS INC","WALLENIUS MARINE SINGAPORE PTE","WALLENIUS MARINE AB","","","","","","","",TRUE,FALSE,FALSE
"273214530","8907022","SERGEY BOCHKAREV","UBST3","RUS","fishing","trawlers",2026-05-21 11:21:40,"RUS","PRIGORODNOYE ANCHORAGE",4,10.5,0,0,8,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9bdff5a2d-d13a-c1a1-e8ac-1d7c71e42327?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7671,105,1992,"KAI FU HAO","VANINO","RUSSIA","SOFCO CO LTD","SOFCO CO LTD","RUSSIA","SOFCO CO LTD","SOFCO CO LTD","SOFCO CO LTD","Sister Ship","","","IUU","ADMIRAL KOLCHAK (9076208) was documented fishing 0.5nm inside the US EEZ by a USCG helicopter in 2014. The US issued the vessel owner a Notice of Violation and Assessment of civil penalty and sent the notice to the Russian Ministry of Justice for service of process on the vessel owner, but it appears there was no enforcement by Russia.  IKHTIOLOG (8804309) source indicates that a total of nine incursions over a period of four days were detected into the US EEZ while the vessel was fishing close to the Russia-US boundary in May/June 2022 (from wording it sounds like this was detected remotely, presumably over AIS). The Russian Border Guard investigated based on USCG report and fined the vessel owner for  failing to notify the Russian Federation of an MBL crossing. Source

","[ADMIRAL KOLCHAK, IKHTIOLOG]","https://repository.library.noaa.gov/view/noaa/17211
https://www.psmfc.org/wp-content/uploads/2015/09/5-THORNE_2015-PSMFC-presentation.pdf
https://meetings.npfmc.org/CommentReview/DownloadFile?p=ff8684a8-0a7d-4b13-88a3-ddcabeeda746.pdf&fileName=B6%20USCG%20Enforcement%202022%20Year%20in%20Review.pdf
",FALSE,TRUE,FALSE
"273299680","9139610","KOMANDOR","UBVW3","RUS","fishing","trawlers",2026-05-20 12:44:45,"KOR","BUSAN",4,11.46,0,0,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/add950d75-564c-5ba7-bb0c-50bff028cca6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"273387270","8907113","PETR 1","UBGP8","RUS","fishing","trawlers",2026-05-08 01:50:17,"RUS","VLADIVOSTOK",4,23.92,1,3,35,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bfac882bc-c0bd-0ef0-d808-482382ef6654?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7733,105,1993,"FRIGG","VANINO","RUSSIA","TRALFLOT JSC","TRALFLOT JSC","RUSSIA","TRALFLOT JSC","TRALFLOT JSC","TRALFLOT JSC","","","","","","","",FALSE,TRUE,FALSE
"311957000","8917572","PERUVIAN REEFER","C6UM3","BHS","carrier","carrier",2026-05-28 08:10:52,"CHN","QINGDAO",3,3.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ca65d28b3-37df-4bb1-d58c-12626338e41b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"356399000","9070137","HE TAI","H9JS","PAN","carrier","carrier",2026-05-26 06:23:55,"CHN","ZOUSHAN",3,5.71,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/455d53d58-8c99-6a63-8aec-a9e192fcf407?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10374,150.01,1993,"BALTIC PIONEER","PANAMA","CHINA","WEI FONG SHIPPING CO LTD","HE TAI SHIPPING LTD","LIBERIA","WEI FONG SHIPPING CO LTD","WEI FONG SHIPPING CO LTD","WEI FONG SHIPPING CO LTD","Both","IUU","Multiple transshipments with vessels in the Zhoushan Ningtai Ocean Fishery fleet with indicators of IUU, forced labor, AIS transmission gaps ","IUU","TRITON REEFER observed on AIS conducting multiple transshipments with vessels in the Zhoushan Ningtai Ocean Fishery fleet with indicators of IUU, forced labor, AIS transmission gaps","","C4ADS internal source available upon request",TRUE,FALSE,FALSE
"412209133",NA,"JULONGJIAYA2","BZYS3","CHN","fishing","fishing",2026-05-14 12:34:48,"CHN","CHN-2289",4,17.46,0,1,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7117759ef-f564-b2fd-245c-b15e2cae2133?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209133",NA,"JULONGJIAYA2","BZYS3","CHN","fishing","fishing",2026-05-14 12:34:48,"CHN","CHN-2289",4,17.46,0,1,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7117759ef-f564-b2fd-245c-b15e2cae2133?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209137",NA,"JULONGJIAYA5","BZYS6","CHN","fishing","fishing",2026-05-14 13:39:10,"CHN","CHN-170",4,17.42,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3c5955e5f-f81a-2412-c8eb-cc77f718aa4c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209138",NA,"JULONGJIAYA6","BZYS 7","CHN","fishing","fishing",2026-05-14 12:58:58,"CHN","CHN-2289",4,17.46,0,2,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/602daf37c-cae5-5b97-db44-95c03de6e41a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
