"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Name","skylight_Skylight.Link","skylight_dark_rendezvous","skylight_eo_landsat_8_9","skylight_fishing_activity_history","skylight_standard_rendezvous","skylight_viirs","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","inital_list_2026"
"412209133",NA,"JULONGJIAYA2","BZYS3","CHN","fishing","fishing",2026-05-14 12:34:48,"CHN","CHN-2289",4,17.46,0,1,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7117759ef-f564-b2fd-245c-b15e2cae2133?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209135",NA,"JU LONG JIA YA 3","BZYS4","CHN","fishing","fishing",2026-03-28 11:37:17,"CHN","CHN-170",4,64.5,0,8,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/13b2ff18f-fa9a-2e1c-863e-470e0c73a469?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,TRUE
"412209136","8540525","XIN HAI 1259","BZYS5","CHN","fishing","fishing",2026-04-10 09:22:34,"CHN","CHN-2289",4,51.58,0,22,57,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/562a1eaf7-70cf-21c4-2695-d3747bbbe883?&start=2026-04-30&end=2026-06-02"")",8540525,"XIN HAI 1259","https://app.skylight.earth/vesseldetails/412209136?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",0,0,2,0,0,859,50.7,2013,"JU LONG JIA YA 4","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","[XIN HAI 1219, XIN HAI 1225]","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE,TRUE
"412209137",NA,"JULONGJIAYA5","BZYS6","CHN","fishing","fishing",2026-05-14 13:39:10,"CHN","CHN-170",4,17.42,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3c5955e5f-f81a-2412-c8eb-cc77f718aa4c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209138",NA,"JULONGJIAYA6","BZYS 7","CHN","fishing","fishing",2026-05-14 12:58:58,"CHN","CHN-2289",4,17.46,0,2,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/602daf37c-cae5-5b97-db44-95c03de6e41a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209138",NA,"JULONGJIAYA6","BZYS 7","CHN","fishing","fishing",2026-05-14 12:58:58,"CHN","CHN-2289",4,17.46,0,2,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/602daf37c-cae5-5b97-db44-95c03de6e41a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412209139",NA,"XIN HAI 1209","BZYS8","CHN","fishing","fishing",2026-04-10 09:17:38,"CHN","CHN-2289",4,51.58,0,10,7,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/51d002bfc-c972-31f8-a9c4-08cdbe926447?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"JU LONG JIA YA 7","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE,TRUE
"412209142",NA,"XINHAI1219","BZYT2","CHN","fishing","fishing",2026-03-31 09:40:13,"CHN","CHN-2289",4,61.58,0,8,6,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ad5df6b76-6c75-f40d-0033-6c591aebb97d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"JU LONG JIA YA 9","ZHOUSHAN, ZHEJIANG","HONG KONG, CHINA"," ","ZHOUSHAN XINHAI FISHERY CO LTD","CHINA","ZHOUSHAN XINHAI FISHERY CO LTD","ZHOUSHAN XINHAI FISHERY CO LTD"," ","Sister Ship","","","Human Rights / Forced Labor","Indonesian crew on the XIN HAI 1225 had complaints of several ILO forced labor indicators including: abuse of vulnerability, intimidation and threats, deception, restriction of movement, and withholding of wages/debt bondage ","","https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf",TRUE,FALSE,TRUE
"412209143","8540264","JU LONG JIA YA 10","BZYT3","CHN","fishing","fishing",2026-03-31 10:54:09,"CHN","CHN-2289",4,61.54,0,13,47,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bedbd7020-0a1b-a462-4001-396be0410c24?&start=2026-04-30&end=2026-06-02"")",8540264,"JU LONG JIA YA 10","https://app.skylight.earth/vesseldetails/412209143?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",2,0,0,0,0,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","[JU LONG JIA YA 28, JU RONG YU 11, JU RONG YU 9]","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,TRUE
"412270002","8607373","LONG TENG","BZZQ6","CHN","fishing","trawlers",2026-05-28 04:50:50,"KOR","BUSAN",4,3.79,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4822d6e0b-bccc-5a41-edf2-04c872e7111b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,7765,120.47,1990,"PORECHYE","","CHINA","CHINA NATIONAL FISHERIES CORP","ZHONGYU GLOBAL SEAFOOD CORP","CHINA","ZHONGYU GLOBAL SEAFOOD CORP","ZHONGYU GLOBAL SEAFOOD CORP","CHINA NATIONAL FISHERIES CORP","Sister Ship","","","Multiple","SOLEIL 51 illegally harvested juvenile species in Senegal EEZ in 2018. SHUN CHANG NO. 3 listed on Combined IUU list; NORTH OCEAN and WEST OCEAN formerly listed. HAI FENG 823 arrested in Liberia for illegal transshipment. ZHONG YUAN YU 17 has significant transmission gaps. Mulitple vessels in fleet underreported catch in Guinea-Bissau. ","[SOLEIL 51, CNFC 9307, CNFC 9308, ZHONG SHUI 9418, SHUN CHANG NO. 3, ZHONG SHUI 9201, LU YAN YUAN YU 016, ZHONG SHUI 9412, HAI FENG 823, ZHONG SHUI 9419, ZHONG SHUI 9416, WEST OCEAN, JIN SHENG NO. 2, ZHONG SHUI 9417, ZHONG YUAN YU 17, CNFC 9305, NORTH OCEAN, YAN YU 658]","https://web.archive.org/web/20231101041337/http://spcsrp.org/sites/default/files/Rapport%20narratif%20final%20PESCAO-CSRP_%20verf%202_01_08_2023.pdf
https://www.iuu-vessels.org/Vessel/GetVessel/b875e580-534f-4d8b-9fe7-58df31def055
https://www.seashepherdglobal.org/latest-news/arrest-liberia-haifeng/
https://b2p.theoutlawocean.com/vessels/zhong-yuan-yu-17",TRUE,FALSE,FALSE
"412322090","9993016","HAIDELI709","BZSE","CHN","fishing","fishing",2026-05-29 04:41:27,"CHN","ZOUSHAN",3,2.79,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4a0c2c5e5-570c-f7c0-7e54-a510f522e645?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412329637","8775027","LU RQNG YUAN YU 899","BBIR2","CHN","fishing","fishing",2026-05-29 14:31:18,"CHN","SHIDAO",3,2.38,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f0a00ce5-5d0c-f2e3-1784-afe73af87ca6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412329644","8775780","JIN FENG 58","BBIV7","CHN","fishing","squid_jigger",2026-05-29 10:02:14,"CHN","ZHOUSHAN",3,2.54,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dff81fcd1-1afe-12e0-db27-f2fed4bfba53?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412331127",NA,"SHUN ZE 729","BCFG4","CHN","fishing","fishing",2026-05-28 08:07:54,"CHN","LIUHENG",3,3.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f3b5befb-b90a-7d29-72c7-ae403ef52125?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412336962","9871971","HAN YI 58","BZYM6","CHN","fishing","fishing",2026-05-30 04:50:49,"CHN","ZHOUSHAN",3,1.79,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d6c964802-21b9-8b17-2af4-8cf3ff5f1f69?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412336963","9871971","HAN YI 68","BZYM7","CHN","fishing","fishing",2026-05-30 17:48:33,"CHN","ZHOUSHAN",3,1.25,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f6f97e5d9-9d9b-1ec1-1b3b-ba7e58e60499?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412410006","8598998","HONG RUN 27","BZW5H","CHN","fishing","inconclusive",2026-05-19 01:24:37,"CHN","ZHOUSHAN",3,12.92,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3f3fd374b-bedd-45f0-f5b2-3f4f6e3e556b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412410062",NA,"XING WANG 111","BZW8J","CHN","fishing","fishing",2026-05-30 23:33:34,"CHN","ZHOUSHAN",3,1,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e91aeaee-ed23-801f-c1df-eeff5783e678?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420213",NA,"FENG CHENG 103","BZ8UG","CHN","fishing","squid_jigger",2026-05-30 16:21:32,"CHN","ZHOUSHAN",3,1.29,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/09dd879a6-6de5-da25-d892-7d7b6e8be774?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420225",NA,"ZHOU HONG YUAN 9","BZ8UU","CHN","fishing","squid_jigger",2026-05-26 05:55:11,"CHN","ZOUSHAN",3,5.75,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6d83cff72-2a54-4746-ea45-658ca6658d31?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420231",NA,"JIN HAI 858","BZ5VB","CHN","fishing","squid_jigger",2026-05-28 06:01:01,"CHN","DIASHAN",3,3.71,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3ab38daca-a533-3262-a1c7-824aa7879d9e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420248",NA,"PUYUAN817","BZ8VA","CHN","fishing","squid_jigger",2026-05-11 09:45:42,"CHN","ZHOUSHAN",3,20.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/010e50a1b-b3b7-289e-25ed-926583adba52?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
