Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c0445c69f-f037-d660-ffeb-fa65023d336f,CHN,FUYUANYU675,2024-07-23T03:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412440368,8548553,BVKX5,2023-03-13T08:06:15Z,2024-08-23T23:45:53Z,669.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",70871fd5f-f6bf-660c-a758-200300eb941f,CHN,FU YUAN YU YUN 995,2024-07-23T00:00:00Z,2024-08-11T15:00:00Z,CARRIER,CARRIER,412440687,9887152,BZUV9,2020-04-26T00:00:37Z,2024-08-23T07:10:01Z,465.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",25e7e8e70-0863-6af1-8498-664429b65a01,CHN,FU YUAN YU609,2024-07-23T01:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412440251,,BZU7F,2020-05-19T01:23:48Z,2024-08-23T22:52:23Z,360.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",733973421-17ee-8d5c-92b4-036314d53725,CHN,LU RONG YUAN YU 303,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412549135,,BZZU6,2022-04-23T05:38:37Z,2024-08-23T23:59:43Z,714.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",7117759ef-f564-b2fd-245c-b15e2cae2133,CHN,JULONGJIAYA2,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412209133,,BZYS 3,2020-03-01T04:57:18Z,2024-08-23T23:59:59Z,298.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",1b536a8af-f6a1-490f-038f-8421898a05fa,TWN,JIA LONG,2024-07-23T00:00:00Z,2024-08-18T17:00:00Z,SQUID_JIGGER,FISHING,416005510,9857846,BL2139,2018-05-23T08:08:15Z,2024-08-18T17:28:00Z,108.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",3f8d832ef-f188-d6b2-ec92-abc4ebd3efa7,TWN,MAN SHUN FA,2024-07-23T03:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,416004638,9766748,BI2630,2019-12-10T01:41:58Z,2024-08-23T23:59:57Z,297.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",2fc5df680-0e27-c425-469c-a3cb7a4072d9,,BUOY42584-11-11 90%,2024-08-03T06:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,994162781,,,2022-05-03T22:18:42Z,2024-08-23T23:57:18Z,331.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",d35930a47-780b-52a8-a645-937269371f28,KOR,102KUMYANG,2024-07-30T14:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,440216000,9041928,6LZQ,2012-01-22T13:15:14Z,2024-08-23T23:49:32Z,558.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",77737fe13-3506-9b33-c64d-d729dfece0ac,JPN,KIYOMARU NO.8,2024-07-23T00:00:00Z,2024-07-31T10:00:00Z,POLE_AND_LINE,FISHING,431600520,,JM6434,2015-05-08T08:50:57Z,2024-08-19T22:00:39Z,70.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",ce149921e-e601-5506-37d9-612c31de615e,JPN,SHINKAI MARU NO73,2024-07-23T19:00:00Z,2024-07-25T21:00:00Z,POLE_AND_LINE,FISHING,431351000,,JM6656,2018-07-05T12:30:47Z,2024-08-20T14:45:49Z,7.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c6d04361d-d47a-b930-db6c-54372e12cf3c,JPN,YASUICHIMARU,2024-07-24T09:00:00Z,2024-07-28T15:00:00Z,POLE_AND_LINE,FISHING,431200140,,JH3405,2018-05-31T20:09:47Z,2024-08-23T22:20:07Z,29.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",e282b0100-05fd-d133-2950-de3074e862d4,JPN,KOYO MARU NO7,2024-07-31T16:00:00Z,2024-08-09T11:00:00Z,DRIFTING_LONGLINES,FISHING,431690000,9890769,7KGF,2020-03-09T01:14:31Z,2024-08-23T23:55:47Z,212.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",f61bcb8b3-367f-76a5-be47-492d6db70241,JPN,JINICHI MARU,2024-07-25T10:00:00Z,2024-08-20T17:00:00Z,POLE_AND_LINE,FISHING,431200130,,JH3403,2018-05-31T23:46:38Z,2024-08-23T23:49:33Z,79.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",8a15fb1f9-9ffe-611f-0d26-69e3bc21ce69,CHN,HUA HENG 878,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412549581,9886861,BZW8H,2023-11-23T06:58:57Z,2024-08-23T23:59:33Z,743.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",4f07e13d5-5fa9-3125-ec50-1c8b785e12a6,JPN,HASHIMURATERUMARU,2024-07-23T02:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431500637,,,2015-07-03T23:21:51Z,2024-08-23T23:59:13Z,167.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",32f8c14a7-7871-3851-b0f6-f6b8dc87af6d,TWN,SHENG YU NO66,2024-07-25T15:00:00Z,2024-07-25T15:00:00Z,DRIFTING_LONGLINES,FISHING,416003735,,BJ4601,2023-12-12T02:20:26Z,2024-08-15T03:57:39Z,1.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c04309ae4-4ae9-3453-5220-6978d617c866,TWN,HORNG YIH FWU NO.168,2024-08-20T06:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,416000141,,BJ4551,2012-10-17T01:04:19Z,2024-08-23T22:54:30Z,49.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",0f04bb8dc-ce34-4cdf-f416-5e8c8914746d,CHN,OU YA 28,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412439598,,BZ7VZ,2023-11-21T17:00:01Z,2024-08-23T23:34:47Z,634.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",4f1bec106-68a5-ac47-0f17-a0b203ea13e9,CHN,JINHAI 823,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412422732,,BZV2U,2018-12-30T15:46:35Z,2024-08-23T23:55:21Z,539.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",191c69aa2-20f4-5d84-bbef-1c413b341324,,,2024-07-23T00:00:00Z,2024-07-30T23:00:00Z,,,,,,,,115.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",6fc286d8c-ccab-6bf9-da38-b0730ead5b3c,CHN,FUYUANYU 8641,2024-07-23T13:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412549369,9934539,BZ7VX,2024-03-09T07:10:26Z,2024-08-23T23:59:29Z,706.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",18e4b68e7-797b-6278-fdc0-8a841478761e,CHN,FU YUAN YU 8674,2024-07-23T00:00:00Z,2024-08-22T20:00:00Z,FISHING,FISHING,412440682,,BZUY4,2018-10-02T01:19:29Z,2024-08-23T23:25:30Z,547.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",bd0d3bcd3-3c03-e966-95b6-0962e0e321a5,CHN,LUPENGYUANYU097,2024-07-23T00:00:00Z,2024-08-20T03:00:00Z,SQUID_JIGGER,FISHING,412330931,8775728,BZZY9,2020-11-02T21:38:43Z,2024-08-20T03:38:16Z,279.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",9d793cdb3-3cb5-f35c-ffa4-5a65f5a2c40a,TWN,GUO TONG 101,2024-07-23T22:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,416005752,9887322,BL2149,2023-08-28T01:17:14Z,2024-08-23T23:59:11Z,722.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",003685732-2def-9633-5591-319611870de1,TWN,JHAO FONG 11,2024-07-23T04:00:00Z,2024-08-08T10:00:00Z,DRIFTING_LONGLINES,FISHING,416004048,,BK7393,2020-09-14T00:53:04Z,2024-08-23T23:53:55Z,151.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",f8fa0a39e-efb2-1454-7bc4-76ffd9740d60,TWN,WIN FAR TSAIR NO616,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,416528000,8747343,BI2505,2019-01-10T05:33:27Z,2024-08-23T23:57:51Z,450.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",528376eff-f790-ddac-98c7-2ae07b836c6e,RUS,NADEZHNYI-1,2024-08-19T11:00:00Z,2024-08-22T23:00:00Z,INCONCLUSIVE,FISHING,273299990,8684735,UBCX3,2022-04-14T03:45:51Z,2024-08-23T23:57:40Z,76.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",0985d4fe6-6d3d-9db2-520f-8500f342046e,TWN,SHIN YANG,2024-08-01T23:00:00Z,2024-08-11T04:00:00Z,SQUID_JIGGER,FISHING,416241700,8676491,BL2205,2020-11-12T20:43:42Z,2024-08-11T04:15:40Z,7.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",45a97487e-eb1f-55be-2e09-8c939290f634,NOR,DON QUIJOTE,2024-08-20T22:00:00Z,2024-08-22T23:00:00Z,OTHER_PURSE_SEINES,FISHING,257264000,9138525,LATE8,2023-07-10T07:00:20Z,2024-08-23T23:59:53Z,50.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",cda980afa-aa33-1a71-0c9e-a1236151d2ba,CHN,ZHOU YU 920,2024-08-13T18:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412549084,9888259,BZUS,2024-07-03T08:03:05Z,2024-08-23T23:59:54Z,222.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",2f61383da-a4af-63bd-1924-95d8224f37b7,TWN,AN FONG NO.888,2024-08-09T08:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,416007978,9959010,BL2165,2022-01-04T01:51:41Z,2024-08-23T23:59:50Z,328.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",cc885ac30-0207-476d-3d57-8cfe528d3b2f,JPN,MIKASAMARU NO.11,2024-08-19T21:00:00Z,2024-08-19T23:00:00Z,FISHING,FISHING,431371000,,,2016-07-26T23:52:37Z,2024-08-23T02:18:50Z,3.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",2967c0993-3957-ec24-d899-9ba473a53de1,TWN,,2024-07-23T02:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,416000054,,,2013-07-10T10:58:08Z,2024-08-23T23:41:10Z,505.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",5b6315df6-610d-bcee-d5e6-38d48769cd34,JPN,JINTOKU MARU NO.3,2024-07-23T00:00:00Z,2024-07-28T00:00:00Z,POLE_AND_LINE,FISHING,431601080,,JM6654,2015-04-26T00:54:53Z,2024-08-23T23:22:56Z,55.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",2ea6411a3-3b07-b95e-60ef-7d098313f907,JPN,SHOEI MARU NO.8,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,POLE_AND_LINE,FISHING,431001270,,7JZW,2017-07-09T23:25:37Z,2024-08-23T23:59:59Z,460.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",3f4821746-607a-0651-bcc3-736b7b75b7ab,JPN,NO81GENEIMARU,2024-07-23T00:00:00Z,2024-08-22T22:00:00Z,SQUID_JIGGER,FISHING,431700589,,,2016-04-19T00:59:57Z,2024-08-23T23:59:11Z,449.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",de98f435b-bfd4-3095-3495-e6faf627f503,JPN,ONE CONTRIBUTION,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431225000,9629914,7KPZ,2024-03-01T04:23:32Z,2024-08-23T23:59:24Z,231.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",97f5230ed-d508-16ea-6cb3-ace813d82a21,CHN,PUYUAN835,2024-07-24T21:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412420537,,BZ6VO,2022-08-17T04:23:57Z,2024-08-23T23:59:02Z,688.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",243db9adc-cd05-6ec7-ba95-dbeb513ef919,CHN,ZHOU YU 932,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412672140,9983982,BKWM2,2023-02-02T05:01:31Z,2024-08-23T23:59:49Z,697.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",4d1e8c378-8ce4-81c9-04bc-8d784f5c0521,JPN,TAISEI MARU,2024-07-23T04:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431501731,,,2022-10-27T01:51:26Z,2024-08-23T23:59:42Z,375.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",f16136d66-605b-b566-4529-0e14d1efea07,TWN,WIN FAR SHENG NO.3,2024-07-23T00:00:00Z,2024-08-19T04:00:00Z,SQUID_JIGGER,FISHING,416253500,9844631,BL2133,2019-12-26T02:06:10Z,2024-08-19T04:33:48Z,108.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",b2a8195a9-966b-a479-3cf5-d36d23af13e7,CHN,,2024-07-23T00:00:00Z,2024-07-30T14:00:00Z,DRIFTING_LONGLINES,FISHING,412080230,,,2015-03-19T15:51:50Z,2024-08-12T03:14:26Z,175.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",54fb5a4a8-8947-3419-8a7d-43ef5dcd04c0,JPN,NO.8MATSUMARU,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431600620,,,2015-10-28T05:20:45Z,2024-08-23T22:20:32Z,268.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",f29b533f6-69b6-6d4f-7105-e5cff2b47b58,JPN,HISATOSHIMARU,2024-07-23T03:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,431600710,,,2015-10-26T07:28:01Z,2024-08-23T22:53:19Z,144.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",7c3a9091b-bf9f-e0d0-077e-e38f1ee3c5c1,TWN,FWU TSAIR YIH NO.1,2024-07-23T04:00:00Z,2024-07-30T14:00:00Z,DRIFTING_LONGLINES,FISHING,416002747,,BJ4855,2016-01-28T03:59:21Z,2024-08-23T09:32:21Z,99.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",14db5ffb4-4718-5855-bd16-e7d004db800a,TWN,CHIH CHI FENG NO.1,2024-07-23T00:00:00Z,2024-07-24T20:00:00Z,DRIFTING_LONGLINES,FISHING,416002744,,BJ4871,2012-08-01T01:50:42Z,2024-08-23T00:30:54Z,21.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",ec9308fc7-7c98-964a-bd8b-e2f2933014b7,TWN,HUNG LONG,2024-07-25T07:00:00Z,2024-08-22T23:00:00Z,SET_LONGLINES,FISHING,416000833,,BJ4296,2021-03-30T09:59:52Z,2024-08-23T23:59:57Z,545.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",827cacb96-627f-38d7-8c2b-99780846768b,JPN,ONE ALTAIR,2024-08-07T17:00:00Z,2024-08-13T23:00:00Z,INCONCLUSIVE,FISHING,431710000,9468308,7KHW,2022-03-16T02:05:07Z,2024-08-23T23:57:51Z,151.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",54af12dc7-7ad2-43ca-75bc-5df4811a704c,NOR,DON PASQUALE,2024-08-07T16:00:00Z,2024-08-13T20:00:00Z,SET_LONGLINES,FISHING,259023000,9138513,LATF8,2023-05-29T13:15:01Z,2024-08-23T23:58:51Z,149.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",94504e3f2-2a26-0dc5-187d-6c2e6b9b3e72,TWN,MAN YI NO 168,2024-08-18T20:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,416001414,,BJ4651,2013-01-20T02:13:10Z,2024-08-23T23:59:12Z,87.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",79486b313-340f-e448-956a-bfac321818d7,VUT,OCEAN VENTURE II,2024-08-18T08:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,577079000,9688740,YJRZ4,2019-12-17T08:00:06Z,2024-08-23T23:59:12Z,111.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",cda64ccbe-ebdf-66f9-a63d-0d7ad42a9fcf,CHN,FUYUANYU667,2024-07-23T01:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412440223,,BVKT8,2024-04-18T23:03:52Z,2024-08-23T01:58:47Z,159.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",8cb954c99-90e4-e7a7-0184-e93c5dd634bf,CHN,LU PENG YUAN YU 079,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412331061,8775687,BZSE2,2023-05-26T02:39:40Z,2024-08-23T23:59:34Z,363.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",836df9804-4063-a96f-f09c-b5a01769e02e,CHN,FU YUAN YU 666,2024-07-23T00:00:00Z,2024-08-22T22:00:00Z,FISHING,FISHING,412440222,,BVKS8,2024-03-19T04:27:02Z,2024-08-23T22:54:00Z,331.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",17f863bf5-501a-2032-b3ab-3a10c3737f1b,CHN,TIAN XIANG 58,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412300376,8668901,BZTV8,2024-03-15T17:12:15Z,2024-08-23T23:59:09Z,678.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",b03025fa9-98c5-323b-8273-81da1edeb5f6,CHN,FUYUANYU8289,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412549496,8573170,BZW9Z,2023-02-17T00:11:14Z,2024-08-23T23:59:08Z,744.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",26876cd96-6cfa-b355-a348-63995ebf558f,CHN,FUYUANYU8290,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412549497,9929156,BZW4Z,2023-02-09T01:37:10Z,2024-08-23T23:59:37Z,743.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",9cc54831d-df4e-ed0f-1e6c-2d8780fd8d8d,CHN,FU YUAN YU 607,2024-07-23T00:00:00Z,2024-08-22T23:00:00Z,FISHING,FISHING,412440248,,BZU5F,2020-05-19T22:25:40Z,2024-08-23T22:54:39Z,515.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",ba5fd1665-5eae-a68e-1871-b38eb0011001,CHN,LU HUANG YUAN YU 108,2024-07-23T00:00:00Z,2024-08-18T04:00:00Z,SQUID_JIGGER,FISHING,412329658,9717474,BZTE5,2022-04-27T06:39:37Z,2024-08-18T04:32:55Z,322.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",d16d31708-8daf-817a-195c-f4bb7671ca66,TWN,CHANG YI NO.38,2024-07-23T00:00:00Z,2024-08-16T00:00:00Z,DRIFTING_LONGLINES,FISHING,416217900,,BJ4986,2018-09-04T07:11:25Z,2024-08-23T23:15:26Z,526.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c63d4891b-b941-a75a-93ff-20bba14a6672,TWN,SHENG YI CAI NO166,2024-07-23T02:00:00Z,2024-08-22T23:00:00Z,DRIFTING_LONGLINES,FISHING,416219600,,BJ4642,2015-08-03T00:55:14Z,2024-08-23T23:59:44Z,700.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",b7f2a7bff-fa27-5181-e460-9fde8ebf8ce5,CHN,NING  TAI  26,2024-07-29T18:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412420469,8782757,BZ6VL,2024-06-19T01:54:23Z,2024-08-23T23:58:44Z,576.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",1707d32e7-7eba-92af-c60a-f1615da58657,BHS,DUNEDIN STAR,2024-07-30T06:00:00Z,2024-07-30T11:00:00Z,CARRIER,CARRIER,311000680,9038945,C6DH9,2017-06-17T01:24:31Z,2024-08-23T23:59:56Z,6.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",72328ec89-9f20-ad7c-481a-552a59d31dba,CHN,ZHOU YU 901,2024-07-29T12:00:00Z,2024-08-19T23:00:00Z,SQUID_JIGGER,FISHING,412420872,,BZU7C,2013-06-24T12:40:48Z,2024-08-16T07:42:17Z,410.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",92046dd2e-e1ea-0a9b-ccc5-12de25972fc2,CHN,FUYUANYU083,2024-07-30T10:00:00Z,2024-08-16T17:00:00Z,INCONCLUSIVE,FISHING,412440424,,BZU8V,2022-08-11T05:03:44Z,2024-08-16T17:20:59Z,9.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c8fe0942a-a8cd-63e5-5641-cee31faf8bb6,CHN,,2024-08-21T18:00:00Z,2024-08-21T18:00:00Z,SQUID_JIGGER,FISHING,412331059,,,2014-10-09T10:46:32Z,2024-08-23T16:49:51Z,1.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",c6e6977ca-a588-1909-3f65-487f205e79cd,CHN,ZHOUPU818,2024-08-19T13:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412549183,,BZU5X,2019-11-17T00:35:00Z,2024-08-23T23:31:07Z,83.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",5c5fd6c81-18fe-73bc-6114-3600ff235db8,CHN,HONG PU 88,2024-08-19T15:00:00Z,2024-08-22T23:00:00Z,SQUID_JIGGER,FISHING,412420973,,BZV2W,2016-04-17T12:07:04Z,2024-08-23T23:31:33Z,79.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",95379431e-edb6-7bd3-0226-384097286282,TWN,AN FONG 168,2024-08-18T17:00:00Z,2024-08-21T06:00:00Z,SQUID_JIGGER,FISHING,416005007,9799575,BI2662,2019-12-26T00:46:57Z,2024-08-23T23:59:27Z,51.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",16741e554-4bda-c5da-493f-2d2dfe8b4c88,JPN,"HANASAKI MARU NO,88",2024-08-19T22:00:00Z,2024-08-19T23:00:00Z,SQUID_JIGGER,FISHING,431001150,,7JXB,2018-12-06T05:39:21Z,2024-08-19T23:19:50Z,2.00
"2024-07-23T00:00:00.000Z,2024-08-24T00:00:00.000Z",b97c30bac-c12a-308d-6036-3cbc92050549,JPN,ICHI MARU NO.28,2024-07-23T00:00:00Z,2024-07-29T17:00:00Z,POLE_AND_LINE,FISHING,431600310,,JM6280,2015-04-28T16:48:50Z,2024-08-18T23:41:40Z,46.00
