DFO_VOI,ssvid,imo,poor_id,vessel_id,shipname,callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_id,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing
false,106000000,,false,719143324-4d0e-f986-f175-2710c6c0a9dc,,,VUT,fishing,inconclusive,106000000-719143324-4d0e-f986-f175-2710c6c0a9dc-018f834446e8,2024-05-16 21:17:21.000000 UTC,SEN,DAKAR,4,32.08,1,3,3
false,257248000,9176577,false,6ba1672c0-0f62-e3eb-7d08-1330e3735b3f,ELEKTRA,LATK8,NOR,fishing,trawlers,257248000-6ba1672c0-0f62-e3eb-7d08-1330e3735b3f-01900aed5788,2024-06-12 05:30:45.000000 UTC,KOR,YEOSU,4,5.75,0,0,0
false,273895000,9053311,false,086dbea53-337b-14d3-f7cc-8a8d20af0f07,MYS LOVTSOVA,UAEO,RUS,fishing,trawlers,273895000-086dbea53-337b-14d3-f7cc-8a8d20af0f07-018fc68a27b0,2024-05-29 22:48:14.000000 UTC,RUS,OKTYABRSKIY,4,19.04,0,0,62
false,367602610,,false,f9b21c963-320a-a8b9-d326-6f94dcab1650,TYLER,WDH2928,USA,fishing,trawlers,367602610-f9b21c963-320a-a8b9-d326-6f94dcab1650-0190237a0e40,2024-06-16 23:55:20.000000 UTC,USA,EAST GLOUCESTER,3,1.0,0,0,0
false,412080230,,false,b2a8195a9-966b-a479-3cf5-d36d23af13e7,,,CHN,fishing,fishing,412080230-b2a8195a9-966b-a479-3cf5-d36d23af13e7-018f03bae8a0,2024-04-22 02:55:32.000000 UTC,TWN,DONGGANG,4,56.88,2,49,100
true,412200083,8724339,false,1392a1be1-1c19-7886-95dd-8db6119eca3a,HAI XING,BALE,CHN,fishing,trawlers,412200083-1392a1be1-1c19-7886-95dd-8db6119eca3a-018efb376780,2024-04-20 11:14:56.000000 UTC,KOR,BUSAN,4,58.5,4,8,121
false,412209133,,false,7117759ef-f564-b2fd-245c-b15e2cae2133,JULONGJIAYA2,BZYS 3,CHN,fishing,fishing,412209133-7117759ef-f564-b2fd-245c-b15e2cae2133-018ee15c6a90,2024-04-15 10:45:14.000000 UTC,CHN,TAIZHOU,4,63.54,0,74,31
false,412209135,,false,13b2ff18f-fa9a-2e1c-863e-470e0c73a469,JU LONG JIA YA 3,BZYS4,CHN,fishing,fishing,412209135-13b2ff18f-fa9a-2e1c-863e-470e0c73a469-018ec2b9b818,2024-04-09 11:58:55.000000 UTC,CHN,CHN-170,3,69.5,1,88,100
true,412209136,,false,c1ee645ef-fff3-9d8e-b235-9a2d7b12914c,JU LONG JIA YA 6,BZYS 7,CHN,fishing,fishing,412209136-c1ee645ef-fff3-9d8e-b235-9a2d7b12914c-018a04ae6a70,2023-08-17 18:07:34.000000 UTC,CHN,TAIZHOU,4,305.21,0,3,2
true,412209136,,false,8c633eaa7-78bb-50d9-a82c-f4e53452de3e,XINHAI 1259,BZYS5,CHN,fishing,fishing,412209136-8c633eaa7-78bb-50d9-a82c-f4e53452de3e-018ed1a69c88,2024-04-12 09:32:21.000000 UTC,CHN,CHN-2289,4,66.58,3,91,99
false,412209137,,false,3c5955e5f-f81a-2412-c8eb-cc77f718aa4c,JULONGJIAYA5,BZYS 6,CHN,fishing,fishing,412209137-3c5955e5f-f81a-2412-c8eb-cc77f718aa4c-018ef224e500,2024-04-18 16:58:08.000000 UTC,CHN,TAIZHOU,4,60.29,0,69,32
false,412209138,,false,602daf37c-cae5-5b97-db44-95c03de6e41a,JU LONG JIA YA 6,BZYS 7,CHN,fishing,inconclusive,412209138-602daf37c-cae5-5b97-db44-95c03de6e41a-018ef0ae5e18,2024-04-18 10:09:03.000000 UTC,CHN,TAIZHOU,4,60.54,1,46,16
true,412209139,,false,51d002bfc-c972-31f8-a9c4-08cdbe926447,XIN HAI 1209,BZYS8,CHN,fishing,fishing,412209139-51d002bfc-c972-31f8-a9c4-08cdbe926447-018ec25b7730,2024-04-09 10:15:58.000000 UTC,CHN,CHN-2289,4,69.54,1,50,41
true,412209142,,false,ad5df6b76-6c75-f40d-0033-6c591aebb97d,XIN HAI 1219,BZYT2,CHN,fishing,fishing,412209142-ad5df6b76-6c75-f40d-0033-6c591aebb97d-018ec267c3a0,2024-04-09 10:29:24.000000 UTC,CHN,CHN-2289,4,69.54,0,38,17
false,412209143,8540264,false,b7a7adcfe-e38c-3a68-2b0d-c711d20f237f,JU LONG JIA YA 10,BZYT3,CHN,fishing,fishing,412209143-b7a7adcfe-e38c-3a68-2b0d-c711d20f237f-018ed1dd15d8,2024-04-12 10:31:51.000000 UTC,CHN,CHN-170,4,66.54,2,96,109
false,412270002,8607373,false,4822d6e0b-bccc-5a41-edf2-04c872e7111b,LONG TENG,BZZQ6,CHN,fishing,trawlers,412270002-4822d6e0b-bccc-5a41-edf2-04c872e7111b-018ef6f5ed40,2024-04-19 15:24:56.000000 UTC,KOR,BUSAN,4,59.33,2,9,116
false,412329641,,false,d1db2627b-b53a-f828-a515-997ef208e5a5,LURONGYUANYUYUN168,BBZS4,CHN,carrier,carrier,412329641-d1db2627b-b53a-f828-a515-997ef208e5a5-018ff0e0dab8,2024-06-07 04:06:59.000000 UTC,CHN,ZHOUSHAN,4,10.79,0,3,0
