DFO_VOI,shipname,possible_shipname,MMSI,IMO,call_sign,possible_callsign,past_ship_name,Vessel_flag,Vessel_type,Geartype,gross_tonnage,year_of_build,length_overall_meters,highest_responsible_party,group_beneficial_owner,country_of_control_highest_responsible_party_,registered_owner,doc_company,ship_manager,technical_manager,pandi_club,port_of_registry,operator,imo_in_fleet_vessel_with_iuuderog,mmsi_in_fleet_vessel_with_iuuderog,in_fleet_vessel_with_iuuderog,risk_indicator,description,Allegation / Indicator,Source
FALSE,1,[1],100902447,,,[],,,FISHING,DRIFTING_LONGLINES,,,,UNKNOWN,,,,,,,,,,,,,,,,
FALSE,Z0,"[Z0, 991, ZHE VU VU 66666, 118]",212000000,,,"[41180, 66666]",,CHN,FISHING,TRAWLERS,,,,UNKNOWN,,,,,,,,,,,,,,,,
FALSE,SERGEY BOCHKAREV,[SERGEY BOCHKAREV],273214530,8907022,UBST3,[UBST3],KAI FU HAO,RUS,FISHING,TRAWLERS,7671,1992,105,SOFCO CO LTD,SOFCO CO LTD,RUSSIA,SOFCO CO LTD,UNKNOWN,SOFCO CO LTD,SOFCO CO LTD,UNKNOWN,VANINO,SOFCO CO LTD,9076208,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,,IUU,NOAA 2017 Biennial Report
FALSE,LUNTOS,[LUNTOS],273290040,9894935,UBXV9,[UBXV9],,RUS,FISHING,TRAWLERS,4092,2021,80.44,LUNTOS CO LTD,LUNTOS CO LTD,RUSSIA,LUNTOS CO LTD,UNKNOWN,LUNTOS CO LTD,LUNTOS CO LTD,UNKNOWN,PETROPAVLOVSK-KAMCHATSKIY,LUNTOS CO LTD,,,,,,,
FALSE,MEKHANIK MASLAK,[MEKHANIK MASLAK],273297120,9878333,UBMV6,[UBMV6],,RUS,FISHING,FISHING,9055,2023,108.2,RUSSIAN FISHERY AGENCY,RUSSIAN FISHERY AGENCY,RUSSIA,RUSSIAN FISHERY AGENCY,UNKNOWN,RUSSIAN FISHERY AGENCY,UNKNOWN,UNKNOWN,VLADIVOSTOK,RUSSIAN FISHERY AGENCY,,,,,,,
FALSE,EROFEY,[EROFEY],273299430,8907072,UBVV3,[UBVV3],KAI YU,RUS,FISHING,TRAWLERS,7749,1992,105,SHANGHAI KAICHUANG FISHERIES,SHANGHAI KAICHUANG FISHERIES,"CHINA, PEOPLE'S REPUBLIC OF",SHANGHAI KAICHUANG FISHERIES,UNKNOWN,SHANGHAI KAICHUANG FISHERIES,SHANGHAI KAICHUANG FISHERIES,UNKNOWN,VANINO,SHANGHAI KAICHUANG FISHERIES,,,,,,,
FALSE,KAPITAN KAYZER,[KAPITAN KAYZER],273339660,8907149,UBGK4,[UBGK4],SIRIUS GDY-43,RUS,FISHING,TRAWLERS,7805,1994,105,ALTERNATIVA JSC,ALTERNATIVA JSC,RUSSIA,ALTERNATIVA JSC,UNKNOWN,ALTERNATIVA JSC,ALTERNATIVA JSC,SKULD,PETROPAVLOVSK-KAMCHATSKIY,ROLIZ JSC,,,,,,,
FALSE,PETR 1,[PETR 1],273387270,8907113,UBGP8,[UBGP8],FRIGG,RUS,FISHING,TRAWLERS,7733,1993,105,TRALFLOT JSC,TRALFLOT JSC,RUSSIA,TRALFLOT JSC,UNKNOWN,TRALFLOT JSC,TRALFLOT JSC,UNKNOWN,VANINO,TRALFLOT JSC,,,,,,,
FALSE,PERSEUS,[PERSEUS],273619760,9924338,UBPY2,[UBPY2],,RUS,FISHING,TRAWLERS,5117,2023,93,LUNTOS CO LTD,LUNTOS CO LTD,RUSSIA,LUNTOS CO LTD,UNKNOWN,LUNTOS CO LTD,LUNTOS CO LTD,UNKNOWN,,LUNTOS CO LTD,,,,,,,
FALSE,MEKHANIK KOVTUN,[MEKHANIK KOVTUN],273810100,8907125,UHSY,[UHSY],GEYSIR,RUS,FISHING,TRAWLERS,7665,1994,105,AKROS 3 JSC,AKROS 3 JSC,RUSSIA,AKROS 3 JSC,UNKNOWN,AKROS 3 JSC,AKROS 3 JSC,UNKNOWN,PETROPAVLOVSK-KAMCHATSKIY,AKROS 3 JSC,,,,,,,
FALSE,,[],412080230,,,[],,CHN,FISHING,FISHING,,,,UNKNOWN,,,,,,,,,,,,,,,,
TRUE,HAI XING,[HAI XING],412200083,8724339,BALE,[BALE],AN XING HAI,CHN,FISHING,TRAWLERS,6394,1987,114.5,SHANDONG BLUE OCEAN FISHERY CO,,"CHINA, PEOPLE'S REPUBLIC OF",SHANDONG BLUE OCEAN FISHERY CO,UNKNOWN,SHANDONG BLUE OCEAN FISHERY CO,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",SHANDONG BLUE OCEAN FISHERY CO,,,,,,,
FALSE,JU LONG JIA YA 2,"[JULONGJIAYA2, JU LONG JIA YA 2]",412209133,,,[BZYS 3],,CHN,FISHING,FISHING,859,2013,50.7,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG JURONG OCEAN FISHERY,,,,,,,
